"species","model","cv","COR","ROC","PRG"
"nsw09","MaxEnt-LQP","spatial",0.120069716331238,0.613963636363636,0.356994626712304
"nsw09","MaxEnt-LQP","random",0.129527799966912,0.617350649350651,0.293484643540049
"nsw11","BRT-stump","spatial",0.191419674318487,0.799337289049858,0.483040556463356
"nsw11","BRT-stump","random",0.179885393495644,0.78169068351699,0.755701078237914
"nsw11","MaxEnt-LQP","spatial",0.115150522471712,0.71449487554905,-0.165042170252021
"nsw11","MaxEnt-LQP","random",0.198883873600631,0.829775757108731,0.621404668698149
"nsw12","BRT-stump","spatial",0.121595735577373,0.677805212620026,0.547137198927835
"nsw12","BRT-stump","random",0.137514197452471,0.698381344307265,0.86174647143711
"nsw12","MaxEnt-LQP","spatial",0.102994582422218,0.666611796982169,0.313475245262006
"nsw12","MaxEnt-LQP","random",0.146666052368495,0.708587105624137,0.773158445483898
"nsw13","BRT-stump","spatial",0.127814025054859,0.681536189069425,0.744572348073813
"nsw13","BRT-stump","random",0.195294647234783,0.780679468242244,0.843604272510556
"nsw13","MaxEnt-LQP","spatial",0.0722506290590598,0.640472673559823,0.537491549296902
"nsw13","MaxEnt-LQP","random",0.145750541811432,0.713973412112261,0.723522607673648
"nsw14","BRT-stump","spatial",0.463143954640853,0.813234061606639,0.644735348939421
"nsw14","BRT-stump","random",0.447536646661105,0.805932193660232,0.620270260831689
"nsw14","MaxEnt-LQP","spatial",0.446729988717602,0.803951734193636,0.645587946079789
"nsw14","MaxEnt-LQP","random",0.440729692882924,0.797556859278307,0.605659371185545
"nsw15","BRT-stump","spatial",0.410388856786104,0.80809357316371,0.751070990313615
"nsw15","BRT-stump","random",0.441878421982473,0.834688346883468,0.780152679395203
"nsw15","MaxEnt-LQP","spatial",0.411076852118881,0.798124043416603,0.758351082489276
"nsw15","MaxEnt-LQP","random",0.452483126983323,0.829689540418719,0.759754155413901
"nsw16","BRT-stump","spatial",0.200391242784287,0.677312124495224,0.475602808826084
"nsw16","BRT-stump","random",0.186374418225927,0.663280381590241,0.393937881533627
"nsw16","MaxEnt-LQP","spatial",0.176635020505585,0.658925581460793,0.35527064899187
"nsw16","MaxEnt-LQP","random",0.18679066641447,0.668838204049471,0.352672455085445
"nsw17","BRT-stump","spatial",0.0883582967570444,0.555306331709818,0.121813979042735
"nsw17","BRT-stump","random",0.129354791963566,0.634025463556353,0.347219363490907
"nsw17","MaxEnt-LQP","spatial",0.0368558825416637,0.530177447378165,-0.400585224117792
"nsw17","MaxEnt-LQP","random",0.0957186645136329,0.582158420917714,-0.0756357546852978
"nsw18","BRT-stump","spatial",0.144742055678483,0.582791214901306,0.257258055770697
"nsw18","BRT-stump","random",0.178254552424588,0.621234361968306,0.380297370725414
"nsw18","MaxEnt-LQP","spatial",0.135010975454293,0.605276619405059,0.31200820050129
"nsw18","MaxEnt-LQP","random",0.155157553222432,0.616922435362801,0.328857350188033
"nsw23","BRT-stump","spatial",0.382345933137217,0.736192528735634,0.587803879613958
"nsw23","BRT-stump","random",0.410764277189179,0.789054989550676,0.621055737493967
"nsw23","MaxEnt-LQP","spatial",0.370347797779488,0.753336598746082,0.615784661253889
"nsw23","MaxEnt-LQP","random",0.385226956664794,0.779350835945663,0.618789868131781
"nsw24","BRT-stump","spatial",0.201706072908363,0.692206217092403,0.261445944819066
"nsw24","BRT-stump","random",0.210917861372626,0.703716690042066,0.411109181224323
"nsw24","MaxEnt-LQP","spatial",0.122861321561994,0.635562044466923,0.197535903916716
"nsw24","MaxEnt-LQP","random",0.135335809129298,0.649104453590231,0.135034423454522
"nsw25","BRT-stump","spatial",0.144967969554413,0.670427738846873,0.419461484412044
"nsw25","BRT-stump","random",0.148970002790811,0.716456786697193,0.514615383939097
"nsw25","MaxEnt-LQP","spatial",0.156209065484658,0.728743148546457,0.478086558607149
"nsw25","MaxEnt-LQP","random",0.163007074136595,0.740830037697452,0.425991656793764
"nsw27","BRT-stump","spatial",-0.0104678883776901,0.499921972534332,-0.00468642646488063
"nsw27","BRT-stump","random",0.0224698871385656,0.514113868081564,0.0285215194543166
"nsw27","MaxEnt-LQP","spatial",0.0563410446978633,0.52954900124844,0.0750159334238101
"nsw27","MaxEnt-LQP","random",0.0784054546343419,0.547215719933417,0.121710888007109
"nsw28","BRT-stump","spatial",0.319010470159902,0.738647614099748,0.542371030740658
"nsw28","BRT-stump","random",0.404771034231848,0.760106257841908,0.586093021851468
"nsw28","MaxEnt-LQP","spatial",0.386842835997401,0.735127332967376,0.548468719258374
"nsw28","MaxEnt-LQP","random",0.480602889246673,0.785347396486826,0.650351460187518
"nsw31","BRT-stump","spatial",0.110064208589044,0.552976646248085,0.0691478958576488
"nsw31","BRT-stump","random",0.0931888873957074,0.544783924102641,0.0418407352408807
"nsw31","MaxEnt-LQP","spatial",0.125455087763656,0.557403914391364,0.0610908282903846
"nsw31","MaxEnt-LQP","random",0.0999263709470125,0.548390636088597,0.0579204613347516
"nsw32","BRT-stump","spatial",0.0162581514602675,0.553312848767394,-0.372456340506988
"nsw32","BRT-stump","random",0.0960996565165496,0.720420993148266,0.203429565486193
"nsw32","MaxEnt-LQP","spatial",0.0113527044299005,0.523310023310023,-0.450838040979315
"nsw32","MaxEnt-LQP","random",0.0530060144893605,0.624885215794306,-1.1154673617686
"nsw33","BRT-stump","spatial",0.0114334810090696,0.508287049281496,0.0284572560324454
"nsw33","BRT-stump","random",0.0556953174027876,0.490148108965882,-0.0318601542862223
"nsw33","MaxEnt-LQP","spatial",0.0412499002146778,0.509801688755669,0.0162329454092678
"nsw33","MaxEnt-LQP","random",-0.00223521030468641,0.488640816166603,-0.00315728050889956
"nsw39","BRT-stump","spatial",0.0355035371703214,0.507335694425028,-0.00163243501797223
"nsw39","BRT-stump","random",0.113776670802608,0.569312409711543,0.151705215428308
"nsw39","MaxEnt-LQP","spatial",0.0452932222179875,0.523663342498097,0.0728977616566333
"nsw39","MaxEnt-LQP","random",0.0881913531005818,0.551907125215527,0.139644675839168
"nsw40","BRT-stump","spatial",0.222973167183287,0.623151047345532,0.270308377757727
"nsw40","BRT-stump","random",0.242666086329367,0.631046769501692,0.282185547000915
"nsw40","MaxEnt-LQP","spatial",0.179059073747085,0.607692877392067,0.263533795401832
